item_id,store_id,date,counterfactual_scenario,original_prediction,counterfactual_prediction,plausible
item_861,store_8,2022-11-10,"price ↓, promotion ↑",664,533.08,Yes
item_475,store_3,2024-05-09,"price ↓, promotion ↑",293,292.43,Yes
item_2254,store_1,2024-05-04,"price ↓, promotion ↑",921,1090.9,Yes
item_338,store_5,2022-03-02,"price ↓, promotion ↑",971,1012.15,No
item_2089,store_7,2020-07-19,"price ↓, promotion ↑",889,802.26,Yes
item_207,store_3,2024-05-17,"price ↓, promotion ↑",913,961.72,No
item_1052,store_4,2023-09-16,"price ↓, promotion ↑",689,644.25,No
item_1632,store_8,2023-06-10,"price ↓, promotion ↑",741,663.81,Yes
item_1708,store_6,2023-12-10,"price ↓, promotion ↑",296,306.76,Yes
item_2451,store_3,2024-03-14,"price ↓, promotion ↑",196,233.8,Yes
item_881,store_2,2022-06-15,"price ↓, promotion ↑",353,376.86,Yes
item_2558,store_9,2020-04-08,"price ↓, promotion ↑",202,207.52,Yes
item_470,store_7,2022-11-11,"price ↓, promotion ↑",799,653.14,No
item_2206,store_5,2021-06-01,"price ↓, promotion ↑",148,168.38,No
item_2734,store_8,2021-09-17,"price ↓, promotion ↑",337,280.6,Yes
item_36,store_4,2020-11-16,"price ↓, promotion ↑",825,672.32,Yes
item_1078,store_5,2022-09-19,"price ↓, promotion ↑",313,284.31,Yes
item_1975,store_5,2024-02-06,"price ↓, promotion ↑",166,161.73,Yes
item_154,store_3,2022-09-23,"price ↓, promotion ↑",135,141.26,Yes
item_2850,store_4,2023-05-31,"price ↓, promotion ↑",955,939.05,Yes
item_1637,store_3,2024-05-19,"price ↓, promotion ↑",466,465.26,Yes
item_1650,store_8,2023-12-14,"price ↓, promotion ↑",778,856.07,Yes
item_873,store_1,2020-03-02,"price ↓, promotion ↑",645,591.65,Yes
item_2939,store_5,2024-02-16,"price ↓, promotion ↑",614,516.04,Yes
item_1677,store_8,2020-06-18,"price ↓, promotion ↑",442,491.0,Yes
item_91,store_3,2020-02-08,"price ↓, promotion ↑",175,155.65,No
item_685,store_5,2020-03-20,"price ↓, promotion ↑",935,1106.55,Yes
item_358,store_8,2021-10-29,"price ↓, promotion ↑",422,365.05,No
item_390,store_2,2022-06-01,"price ↓, promotion ↑",305,345.16,Yes
item_1634,store_9,2023-01-27,"price ↓, promotion ↑",560,661.71,Yes
item_1470,store_1,2022-05-30,"price ↓, promotion ↑",537,435.78,Yes
item_2901,store_2,2020-03-15,"price ↓, promotion ↑",484,522.26,Yes
item_138,store_8,2023-11-25,"price ↓, promotion ↑",379,330.5,Yes
item_281,store_3,2023-05-03,"price ↓, promotion ↑",716,770.53,Yes
item_2297,store_9,2020-08-01,"price ↓, promotion ↑",288,313.4,Yes
item_2747,store_8,2022-06-01,"price ↓, promotion ↑",56,56.79,Yes
item_2073,store_4,2023-11-18,"price ↓, promotion ↑",116,108.13,No
item_1461,store_6,2020-10-03,"price ↓, promotion ↑",759,885.72,Yes
item_118,store_1,2024-06-17,"price ↓, promotion ↑",553,612.23,Yes
item_1918,store_4,2022-04-24,"price ↓, promotion ↑",308,289.38,No
item_2366,store_2,2020-11-29,"price ↓, promotion ↑",934,995.72,Yes
item_132,store_9,2022-12-01,"price ↓, promotion ↑",138,140.37,Yes
item_2627,store_7,2023-04-17,"price ↓, promotion ↑",603,693.88,Yes
item_2854,store_4,2020-08-03,"price ↓, promotion ↑",997,1030.26,Yes
item_815,store_8,2022-08-15,"price ↓, promotion ↑",259,304.0,No
item_1431,store_1,2022-03-24,"price ↓, promotion ↑",662,635.04,Yes
item_2123,store_6,2021-01-20,"price ↓, promotion ↑",952,766.59,Yes
item_967,store_1,2023-01-12,"price ↓, promotion ↑",410,405.42,Yes
item_2066,store_1,2021-08-12,"price ↓, promotion ↑",420,340.26,Yes
item_1202,store_7,2023-10-04,"price ↓, promotion ↑",57,65.11,Yes
item_452,store_4,2020-06-13,"price ↓, promotion ↑",231,208.77,Yes
item_471,store_7,2021-01-30,"price ↓, promotion ↑",581,470.02,Yes
item_2600,store_2,2020-08-24,"price ↓, promotion ↑",330,349.99,Yes
item_1623,store_5,2020-12-07,"price ↓, promotion ↑",76,63.32,Yes
item_794,store_5,2023-08-12,"price ↓, promotion ↑",60,59.91,Yes
item_482,store_9,2020-06-02,"price ↓, promotion ↑",499,417.48,No
item_1041,store_9,2024-02-29,"price ↓, promotion ↑",864,706.46,Yes
item_401,store_7,2022-09-07,"price ↓, promotion ↑",135,140.2,Yes
item_2236,store_2,2020-05-10,"price ↓, promotion ↑",854,1021.5,Yes
item_1805,store_2,2023-12-10,"price ↓, promotion ↑",657,588.35,Yes
item_1166,store_8,2020-11-19,"price ↓, promotion ↑",195,229.69,Yes
item_1869,store_2,2023-03-22,"price ↓, promotion ↑",760,902.61,No
item_1044,store_1,2024-05-15,"price ↓, promotion ↑",940,800.7,No
item_921,store_2,2023-09-17,"price ↓, promotion ↑",219,249.77,Yes
item_2272,store_3,2021-11-28,"price ↓, promotion ↑",372,389.65,Yes
item_2055,store_5,2021-07-10,"price ↓, promotion ↑",875,895.95,Yes
item_2914,store_8,2020-12-30,"price ↓, promotion ↑",724,802.48,Yes
item_886,store_1,2020-01-22,"price ↓, promotion ↑",523,418.62,Yes
item_738,store_4,2023-01-27,"price ↓, promotion ↑",446,509.75,No
item_1683,store_9,2024-01-16,"price ↓, promotion ↑",436,375.6,Yes
item_2036,store_7,2021-01-21,"price ↓, promotion ↑",398,411.05,Yes
item_1368,store_8,2021-01-29,"price ↓, promotion ↑",113,101.34,No
item_1696,store_6,2023-01-14,"price ↓, promotion ↑",141,157.95,Yes
item_887,store_1,2020-11-12,"price ↓, promotion ↑",684,770.81,Yes
item_515,store_9,2022-05-23,"price ↓, promotion ↑",63,68.52,Yes
item_312,store_9,2022-12-18,"price ↓, promotion ↑",692,693.34,Yes
item_2995,store_9,2021-02-23,"price ↓, promotion ↑",299,324.81,No
item_1623,store_2,2021-01-09,"price ↓, promotion ↑",342,318.09,Yes
item_301,store_7,2023-08-19,"price ↓, promotion ↑",336,367.77,Yes
item_2213,store_1,2024-02-29,"price ↓, promotion ↑",681,630.92,Yes
item_1230,store_4,2021-11-23,"price ↓, promotion ↑",291,256.3,Yes
item_2034,store_5,2020-05-08,"price ↓, promotion ↑",825,922.52,No
item_1311,store_5,2023-08-20,"price ↓, promotion ↑",118,138.09,Yes
item_2445,store_9,2023-07-26,"price ↓, promotion ↑",900,725.28,Yes
item_2890,store_2,2022-07-30,"price ↓, promotion ↑",826,898.07,No
item_1005,store_5,2021-02-10,"price ↓, promotion ↑",668,748.97,Yes
item_106,store_4,2021-10-31,"price ↓, promotion ↑",707,590.21,Yes
item_1196,store_8,2023-10-17,"price ↓, promotion ↑",608,553.23,Yes
item_2905,store_2,2022-07-03,"price ↓, promotion ↑",725,763.28,Yes
item_921,store_2,2023-09-05,"price ↓, promotion ↑",852,901.51,Yes
item_73,store_8,2023-10-08,"price ↓, promotion ↑",940,771.68,Yes
item_2662,store_1,2020-12-19,"price ↓, promotion ↑",520,581.45,No
item_237,store_7,2020-12-13,"price ↓, promotion ↑",676,550.58,Yes
item_2162,store_2,2020-12-26,"price ↓, promotion ↑",390,373.96,Yes
item_1453,store_3,2023-03-27,"price ↓, promotion ↑",265,262.81,Yes
item_95,store_1,2023-02-07,"price ↓, promotion ↑",385,356.02,Yes
item_1682,store_6,2021-11-02,"price ↓, promotion ↑",910,755.17,Yes
item_883,store_7,2023-01-08,"price ↓, promotion ↑",449,425.25,Yes
item_1550,store_7,2021-08-20,"price ↓, promotion ↑",694,821.58,Yes
item_497,store_5,2020-11-03,"price ↓, promotion ↑",817,756.67,Yes
